depth,TempInSitu,Serial,SalinityInSitu_1pCal
01/15/2021 10:43:32,29.35,316,33.78754833
01/15/2021 10:43:42,29.31,316,33.90810608
01/15/2021 10:43:52,29.32,316,33.87463246
01/15/2021 10:44:02,29.36,316,33.72470698
01/15/2021 10:44:12,29.36,316,33.69194966
01/15/2021 10:44:22,29.35,316,33.81393447
01/15/2021 10:44:32,29.37,316,33.70131177
01/15/2021 10:44:42,29.37,316,33.69150514
01/15/2021 10:44:52,29.38,316,33.72704432
01/15/2021 10:45:02,29.38,316,33.68449362
01/15/2021 10:45:12,29.37,316,33.69150618
01/15/2021 10:45:22,29.38,316,33.65499247
01/15/2021 10:45:32,29.37,316,33.59993711
01/15/2021 10:45:42,29.37,316,33.66856608
01/15/2021 10:45:52,29.37,316,33.62278155
01/15/2021 10:46:02,29.36,316,33.63311042
01/15/2021 10:46:12,29.38,316,33.6615598
01/15/2021 10:46:22,29.38,316,33.66156015
01/15/2021 10:46:32,29.37,316,33.58366228
01/15/2021 10:46:42,29.36,316,33.58741629
01/15/2021 10:46:52,29.36,316,33.55486011
01/15/2021 10:47:02,29.37,316,33.52836716
01/15/2021 10:47:12,29.35,316,33.5163387
01/15/2021 10:47:22,29.36,316,33.62330761
01/15/2021 10:47:32,29.35,316,33.53909241
01/15/2021 10:47:42,29.33,316,33.53030041
01/15/2021 10:47:52,29.35,316,33.5488066
01/15/2021 10:48:02,29.37,316,33.5967048
01/15/2021 10:48:12,29.33,316,33.56278187
01/15/2021 10:48:22,29.38,316,33.59295036
01/15/2021 10:48:32,29.41,316,33.53299439
01/15/2021 10:48:42,29.43,316,33.60697999
01/15/2021 10:48:52,29.42,316,33.75805928
01/15/2021 10:49:02,29.42,316,33.76138659
01/15/2021 10:49:12,29.41,316,33.63732306
01/15/2021 10:49:22,29.41,316,33.56551985
01/15/2021 10:49:32,29.39,316,33.70690288
01/15/2021 10:49:42,29.39,316,33.64476095
01/15/2021 10:49:52,29.41,316,33.70933224
01/15/2021 10:50:02,29.39,316,33.6611273
01/15/2021 10:50:12,29.41,316,33.66348243
01/15/2021 10:50:22,29.41,316,33.65359475
01/15/2021 10:50:32,29.41,316,33.66348312
01/15/2021 10:50:42,29.41,316,33.62096826
01/15/2021 10:50:52,29.41,316,33.61440783
01/15/2021 10:51:02,29.39,316,33.64476371
01/15/2021 10:51:12,29.39,316,33.62839966
01/15/2021 10:51:22,29.39,316,33.61212679
01/15/2021 10:51:32,29.41,316,33.67984638
01/15/2021 10:51:42,29.39,316,33.69053817
01/15/2021 10:51:52,29.38,316,33.6354003
01/15/2021 10:52:02,29.38,316,33.67794181
01/15/2021 10:52:12,29.38,316,33.67794216
01/15/2021 10:52:22,29.38,316,33.64520393
01/15/2021 10:52:32,29.39,316,33.66113248
01/15/2021 10:52:42,29.41,316,33.65036361
01/15/2021 10:52:52,29.39,316,33.64800457
01/15/2021 10:53:02,29.42,316,33.6662824
01/15/2021 10:53:12,29.39,316,33.65780667
01/15/2021 10:53:22,29.41,316,33.66672517
01/15/2021 10:53:32,29.41,316,33.69621299
01/15/2021 10:53:42,29.42,316,33.68587813
01/15/2021 10:53:52,29.42,316,33.66628413
01/15/2021 10:54:02,29.43,316,33.65928245
01/15/2021 10:54:12,29.42,316,33.65972382
01/15/2021 10:54:22,29.42,316,33.67608211
01/15/2021 10:54:32,29.41,316,33.71590564
01/15/2021 10:54:42,29.42,316,33.6858802
01/15/2021 10:54:52,29.41,316,33.627448
01/15/2021 10:55:02,29.39,316,33.64800906
01/15/2021 10:55:12,29.39,316,33.64144541
01/15/2021 10:55:22,29.39,316,33.66437566
01/15/2021 10:55:32,29.41,316,33.73227296
01/15/2021 10:55:42,29.42,316,33.64660553
01/15/2021 10:55:52,29.41,316,33.70934467
01/15/2021 10:56:02,29.41,316,33.65360649
01/15/2021 10:56:12,29.42,316,33.65316716
